Canada,North America,2011,100,7911.6,3.3,22.5
China,Asia,2011,99.9,2086.5,2.1,81.2
Egypt,Africa,2011,99.5,900.7,1.1,90.7
France,Europe,2011,100,3847.1,3.5,8.5
Germany,Europe,2011,100,3869.8,17.5,60.4
India,Asia,2011,67.6,578,4,79.6
Indonesia,Asia,2011,94.8,833.6,5.2,88
Italy,Europe,2011,100,2828.4,12.4,71.4
Japan,Asia,2011,100,3610.8,3.7,73.8
South Korea,Asia,2011,100,5216.6,0.6,68.6
Libya,Africa,2011,79.7,2190.8,0,100
Malaysia,Asia,2011,99.5,2670.7,0.8,93.3
Mexico,North America,2011,99.1,1587.1,2.9,81.7
New Zealand,Oceania,2011,100,4177,19.6,23.8
Russia,Europe,2011,100,5049.4,0.1,67.4
South Africa,Africa,2011,84.7,2716.7,0.1,93.9
Spain,Europe,2011,100,2689.7,19.5,49.8
Sweden,Europe,2011,100,5274.6,11.7,2.5
United Kingdom,Europe,2011,100,2972.2,7.9,71.1
United States,North America,2011,100,7030.6,4.8,68.4
Angola,Africa,2012,35.7,552.4,0,39.2
Argentina,South America,2012,99.5,1936.8,2,66
Australia,Oceania,2012,100,5575.3,5,89.4
Brazil,South America,2012,99.5,1413.7,7.3,14.6
Canada,North America,2012,100,7733.4,3.5,21.4
China,Asia,2012,100,2155.2,2.7,77.9
Egypt,Africa,2012,99.7,905.6,0.9,91.1
France,Europe,2012,100,3836.7,4.3,8.7
Germany,Europe,2012,100,3876.9,19.5,59.7
India,Asia,2012,79.9,599.2,4.6,81.3
Indonesia,Asia,2012,96,853.2,4.8,88.8
Italy,Europe,2012,100,2709.3,16.9,68
Japan,Asia,2012,100,3537.4,4.1,81.1
South Korea,Asia,2012,100,5248.5,0.6,70.2
Libya,Africa,2012,78.1,2744,0,100
Malaysia,Asia,2012,99.8,2678.5,0.6,92.6
Mexico,North America,2012,99.1,1634.7,3.4,83.3
New Zealand,Oceania,2012,100,4357.8,20.1,28
Russia,Europe,2012,100,5167,0,67.5
South Africa,Africa,2012,85.3,2636.6,0.1,94.7
Spain,Europe,2012,100,2683.4,22.6,49.2
Sweden,Europe,2012,100,5269.5,11.6,1.5
United Kingdom,Europe,2012,100,3042.9,10,68.5
United States,North America,2012,100,6873,5.5,68.9
Angola,Africa,2013,36.9,533.8,0,42
Argentina,South America,2013,99.5,1967,2.1,64.1
Australia,Oceania,2013,100,5468.4,6,86.7
Brazil,South America,2013,99.6,1461.1,8.2,20.5
Canada,North America,2013,100,7743.7,4.4,20.8
China,Asia,2013,100,2213.8,3.6,77.4
Egypt,Africa,2013,99.7,848.6,0.9,91.1
France,Europe,2013,100,3833.5,4.6,7.8
Germany,Europe,2013,100,3939.5,20.4,59.2
India,Asia,2013,80.8,605.8,5,79.7
Indonesia,Asia,2013,96.5,863.8,4.4,87.7
Italy,Europe,2013,100,2579.5,20.6,60
Japan,Asia,2013,100,3567.6,4.8,81.6
South Korea,Asia,2013,100,5231.7,0.8,72.3
Libya,Africa,2013,76.5,3071.8,0,100
Malaysia,Asia,2013,99.9,2979.6,0.9,91.4
Mexico,North America,2013,99.3,1616.6,3.9,82.7
New Zealand,Oceania,2013,100,4360.3,21,25.6
Russia,Europe,2013,100,5078.6,0,66.2
South Africa,Africa,2013,85.4,2602.7,0.2,93.8
Spain,Europe,2013,100,2512.1,26.5,40
Sweden,Europe,2013,100,5146.5,13.9,1.5
United Kingdom,Europe,2013,100,2987.7,13.7,64.6
United States,North America,2013,100,6907,6.3,67.8
Angola,Africa,2014,32,544.6,0,46.8
Argentina,South America,2014,100,2029.9,2,64.3
Australia,Oceania,2014,100,5334.7,7.5,85.1
Brazil,South America,2014,99.7,1495.5,9.9,24.3
Canada,North America,2014,100,7897.9,5.6,20.8
China,Asia,2014,100,2236.7,4.1,74.8
Egypt,Africa,2014,99.8,827.5,1,91.1
France,Europe,2014,100,3659.1,5.2,4.8
Germany,Europe,2014,100,3779.5,23,56.7
India,Asia,2014,83.5,636.6,5.2,80.9
Indonesia,Asia,2014,97,883.9,4.8,88.5
Italy,Europe,2014,100,2414.5,22.3,55.5
Japan,Asia,2014,100,3470.8,6.3,82.8
South Korea,Asia,2014,100,5289.3,1.1,69.5
Libya,Africa,2014,74.9,2808.6,0,100
Malaysia,Asia,2014,100,3003.5,0.6,90.3
Mexico,North America,2014,99.2,1561.9,4.6,79.2
New Zealand,Oceania,2014,100,4559.9,23.3,20.7
Russia,Europe,2014,100,4942.9,0.1,66
South Africa,Africa,2014,86,2695.4,0.9,93.2
Spain,Europe,2014,100,2464.6,25.9,38.8
Sweden,Europe,2014,100,4966.4,14.3,1
United Kingdom,Europe,2014,100,2777.3,17.5,61
United States,North America,2014,100,6962.5,6.9,67.5
Australia,Oceania,2015,100,5483.8,8.3,86.4
Canada,North America,2015,100,7631.3,6.3,21.1
France,Europe,2015,100,3692,6.2,6.1
Germany,Europe,2015,100,3817.5,26.3,55.1
Italy,Europe,2015,100,2481.8,22.5,60.2
Japan,Asia,2015,100,3428.6,7.8,80.3
South Korea,Asia,2015,100,5413.3,1.5,67.7
Mexico,North America,2015,99,1537.3,5.5,80.9
New Zealand,Oceania,2015,100,4444.7,24.6,19.8
Spain,Europe,2015,100,2571.3,24.8,44.1
Sweden,Europe,2015,100,5102.8,16.8,1.1
United Kingdom,Europe,2015,100,2764.5,23,53.2
United States,North America,2015,100,6806.2,7.4,67.1
